arxiv_id,title,published,matched_queries,summary
2608.05250,Beyond Full-Model Rollback: AuroSFT for Adapter-State Multi-Task Fine-Tuning,2026-08-05T15:57:43Z,Q6_frozen_backbone_adapter,"Multi-task supervised fine-tuning (SFT) often casts a heterogeneous data mixture as a single optimization problem, even though different tasks may reach their best generalization at different times. msft exposes this mismatch through task-wise roll-out, exclusion, and rollback, but its original form"
2608.03275,MoEGen: Mixture-of-Experts for Instance-Adaptive LoRA Generation,2026-08-04T07:51:30Z,Q1_core_adapter_peft,"Parameter-efficient fine-tuning (PEFT) enables efficient adaptation of large language models, but existing MoE-based PEFT methods typically improve capacity by storing multiple full LoRA experts, causing adapter storage to grow linearly with the number of experts and restricting adaptation to a fixe"
2608.03267,FedGSA: Geometry-Consistent Subspace Aggregation for Differentially Private Federated LoRA,2026-08-04T07:39:40Z,Q3_p2p_distributed_learning,"Low-Rank Adaptation (LoRA) enables communication-efficient federated fine-tuning of pretrained language models. However, integrating differential privacy (DP) into federated LoRA remains challenging: independently perturbing and aggregating its two low-rank matrices can cause aggregation mismatch an"
2607.26618,FedWeave: Rethinking the Unit of Specialization in Heterogeneous Federated MoE-LoRA,2026-07-29T08:47:58Z,Q2_multitask_multiadapter_serving,"Federated PEFT enables LLMs to collaboratively adapt to decentralized private data without sharing raw examples. However, task heterogeneity across clients can cause cross-task interference and gradient conflicts during aggregation. Federated MoE-LoRA addresses this challenge through specialized LoR"
2607.26052,Spend Experts Where You Are Unsure: Confidence-Adaptive Routing for Mixture-of-Experts LoRA,2026-07-28T17:59:16Z,Q4_adapter_fusion_routing,"Mixture-of-Experts (MoE) variants of Low-Rank Adaptation (LoRA) route every token to a fixed number of experts $k$. Tokens differ in how uncertain the model is about them, so a single k over-spends on easy tokens and under-serves hard ones. We observe that the router's output distribution is already"
2607.21978,MoE$^2$-LoRA: When MoE Models Meet MoE-style Low-Rank Adaptation,2026-07-24T04:50:39Z,Q1_core_adapter_peft;Q4_adapter_fusion_routing,"Mixture-of-Experts (MoE) architectures have been widely adopted in large language models, yet parameter-efficient fine-tuning (PEFT) for MoE models remains underexplored. Existing PEFT methods for MoE either ignore router priors with uniform adapters, reducing efficiency and risking forgetting, or r"
2607.20205,Statistical Inference for Rank Allocation in Low-Rank Adaptation,2026-07-22T14:25:59Z,Q1_core_adapter_peft,"Low-rank adaptation (LoRA) has become a widely used parameter-efficient fine-tuning method for large language models. Since different modules and layers may contribute unequally to downstream adaptation, allocating rank resources under a fixed parameter budget is an important problem for balancing e"
2607.12111,PFAdapter: Hierarchical LoRA Decomposition for Personalized Federated MLLMs,2026-07-13T19:40:27Z,Q3_p2p_distributed_learning,"Agentic AI systems are reshaping communications and networking by deploying autonomous intelligent agents capable of collaborative learning while maintaining data privacy at network edges. Within distributed network environments, Multimodal Large Language Models (MLLMs) serve as cognitive engines fo"
2607.05114,Localized LoRA-MoE: Block-wise Low-Rank Experts With Adaptive Routing,2026-07-06T14:06:18Z,Q1_core_adapter_peft;Q4_adapter_fusion_routing,"Large Language Models (LLMs) and high-dimensional perception networks increasingly rely on parameter-efficient fine-tuning (PEFT) to adapt to diverse operational contexts. However, standard methods like LoRA are structurally limited by a monolithic bottleneck, making them highly susceptible to gradi"
2607.01789,EPnG: Adaptive Expert Prune-and-Grow for Parameter-Efficient MoE Fine-tuning,2026-07-02T07:02:44Z,Q4_adapter_fusion_routing,"Mixture-of-Experts (MoE) models scale efficiently but remain costly to adapt due to redundant experts and uniform parameter allocation. Existing parameter-efficient fine-tuning (PEFT) methods such as LoRA ignore MoE routing dynamics, leading to suboptimal resource use. We propose EPnG, an adaptive p"
2607.02571,Dual-Adaptive SAM3: Hierarchical Routing over Low-Rank Expert Layers for Parameter-Efficient Medical Image Segmentation,2026-06-30T08:14:18Z,Q4_adapter_fusion_routing,"The Segment Anything Model with Concepts (SAM3) heralds a new paradigm for open-vocabulary segmentation through natural language interaction, offering significant potential for medical image analysis. However, effectively adapting such a powerful vision-language model to the diverse and nuanced doma"
2607.24787,SpecPrefetch: Parameter-Efficient Expert Prefetching for Sparse MoE Foundation Models,2026-06-24T04:53:00Z,Q4_adapter_fusion_routing,"Sparse Mixture-of-Experts (MoE) models expand foundation model capacity through conditional expert activation, but their full expert pools remain difficult to deploy under limited accelerator memory. Although expert offloading alleviates memory pressure by moving inactive experts to host memory or s"
2606.22878,Priority-Aware Learning-Unlearning Correction for Dynamic Decentralized LoRA Fine-Tuning,2026-06-22T05:43:14Z,Q3_p2p_distributed_learning,"As large language models (LLMs) are increasingly deployed at the network edge to provide pervasive generative AI services, decentralized federated learning (DFL) provides a vital mechanism for privacy-preserving, domain-specific fine-tuning through peer-to-peer exchanges of parameter-efficient updat"
2606.15963,PreLort: Prefix-Nested LoRA for Federated Fine-Tuning under Rank Heterogeneity,2026-06-14T18:44:47Z,Q3_p2p_distributed_learning,"Federated fine-tuning of large language models using parameter-efficient methods such as LoRA enables privacy-preserving adaptation of foundation models. Heterogeneous hardware resources introduce challenges, as clients with different adapter ranks cannot be directly aggregated. While existing metho"
2605.29580,On the Construction and Implications of Low-Loss Valleys in LoRA-based Bayesian Inference,2026-05-28T08:24:45Z,Q1_core_adapter_peft,"While parameter-efficient fine-tuning methods like low-rank adaptation (LoRA) are standard for large language models, principled estimation of epistemic uncertainty remains challenging. Recent results in the LoRA regime suggest that discrete multi-mode approaches such as deep ensembles offer little "
2605.21217,Federated LoRA Fine-Tuning for LLMs via Collaborative Alignment,2026-05-20T14:12:16Z,Q1_core_adapter_peft;Q3_p2p_distributed_learning,"Low-rank adaptation (LoRA) has emerged as a powerful tool for parameter-efficient fine-tuning of large language models (LLMs). This paper studies LoRA under a federated learning setting, enabling collaborative fine-tuning across clients while preserving parameter efficiency. We focus on a highly het"
2605.14055,PEML: Parameter-efficient Multi-Task Learning with Optimized Continuous Prompts,2026-05-13T19:25:56Z,Q1_core_adapter_peft,"Parameter-Efficient Fine-Tuning (PEFT) is widely used for adapting Large Language Models (LLMs) for various tasks. Recently, there has been an increasing demand for fine-tuning a single LLM for multiple tasks because it requires overall less data for fine-tuning thanks to the common features shared "
